segment_id,abs_kappa_01,abs_delta_kappa_01,abs_delta_psi_01,inv_d_inner_01,D_prior_local
0,0.59601325,0.45405447,0.16519229,0.74253607,0.62585586
1,0.41907054,0.42425033,0.059255477,0.5709186,0.4382613
2,0.25374222,0.32413974,0.008486915,0.48404235,0.2380556
3,0.1274261,0.18833208,0.004710305,0.39298886,0.04936378
4,0.054033015,0.067414984,0.0002594408,0.33214515,-0.08359961
5,0.027760237,0.008973305,0.009996013,0.2408396,-0.15944552
6,0.031258814,0.030047525,0.019903531,0.19241953,-0.16351308
7,0.042969823,0.023953957,0.028333621,0.112370014,-0.18457076
8,0.052306227,0.008336343,0.030682474,0.08279216,-0.19389395
9,0.055556584,0.008574527,0.022444816,0.027032316,-0.21583506
10,0.052213408,0.01853362,0.015621278,0.03136313,-0.21553758
11,0.04498926,0.018381258,0.011885803,0.018093884,-0.22755902
12,0.037824493,0.010490106,0.011555633,0.034958184,-0.22971474
13,0.033734836,0.0025198238,0.013402723,0.046102703,-0.23091091
14,0.03275112,0.0011380544,0.014937594,0.0666765,-0.22379503
15,0.03230587,0.0073147393,0.0148155,0.10913181,-0.20562603
16,0.02945362,0.017843032,0.012743487,0.13614702,-0.19419523
17,0.022498593,0.026427444,0.0068389867,0.2077303,-0.17085953
18,0.012198293,0.027118476,0.0013837134,0.24512357,-0.16618481
19,0.0016287063,0.016018467,0.0075641684,0.33103067,-0.14281808
20,0.0045717284,0.008068085,0.009384358,0.49947298,-0.07637289
21,0.0014259088,0.041486636,0.0026326512,0.46055597,-0.083742045
22,0.014699244,0.06965942,0.0111101195,0.48837936,-0.04749474
23,0.04184666,0.076922506,0.031502683,0.56185675,0.014639583
24,0.07182443,0.05635137,0.053862553,0.6065601,0.05715735
25,0.093785815,0.014575019,0.0572092,0.643436,0.07403159
26,0.09946733,0.033323254,0.04719665,0.66687477,0.09132711
27,0.0864798,0.06660166,0.024281802,0.6644793,0.084179804
28,0.06052397,0.07397417,0.0018230063,0.6153755,0.037920613
29,0.03169513,0.055729996,0.0057434207,0.6114397,0.007571761
30,0.009975892,0.02245641,0.006534976,0.5716797,-0.03868099
31,0.0012230694,0.008734107,0.0007994552,0.52648044,-0.07144347
32,0.0046284324,0.025320591,0.0067770984,0.504677,-0.06842972
33,0.0144974,0.027339628,0.013088236,0.4619183,-0.07427603
34,0.02515317,0.020504387,0.017042978,0.42118955,-0.08313979
35,0.033145305,0.009331877,0.016926395,0.38687956,-0.09489172
36,0.036783613,0.0014351232,0.016385334,0.3767634,-0.09936008
37,0.0362226,0.0088574095,0.014107907,0.37103897,-0.10003397
38,0.032769185,0.012634982,0.011023273,0.3798477,-0.09900631
39,0.027843688,0.014484666,0.009273425,0.41390187,-0.08937143
40,0.022197383,0.016111968,0.006356526,0.4280219,-0.08876117
41,0.015916932,0.017274685,0.0049901768,0.4442755,-0.08737637
42,0.009183382,0.018013494,0.0012839077,0.50573957,-0.06947585
43,0.0021619254,0.019062657,0.00321863,0.5530349,-0.055037763
44,0.005224803,0.020402407,0.004590306,0.32890618,-0.1402789
45,0.013177199,0.021410609,0.00891769,0.29131615,-0.1466841
46,0.021522483,0.022791978,0.011440659,0.23770332,-0.15958136
47,0.03040607,0.023240574,0.015563468,0.2036578,-0.16414145
48,0.039464474,0.020389736,0.021331312,0.17754918,-0.16611603
49,0.047411934,0.012423491,0.024076268,0.14615077,-0.17416592
50,0.052255012,0.0004644257,0.026033929,0.15850699,-0.16949174
51,0.05207227,0.014725149,0.022601439,0.15522605,-0.16670018
52,0.04633225,0.025341079,0.01568684,0.19882673,-0.15273717
53,0.036455303,0.024870453,0.008523223,0.23315883,-0.15002324
54,0.026761752,0.0050235633,0.0025348864,0.289986,-0.14548264
55,0.024802353,0.036295254,0.0016187094,0.3372504,-0.116510294
56,0.038948048,0.08496436,0.0137785245,0.4088382,-0.05270968
57,0.07205966,0.12103138,0.04252995,0.47894597,0.027694115
58,0.11922627,0.12532286,0.07921405,0.53199893,0.102682725
59,0.16806522,0.09769565,0.105053954,0.6033379,0.16832055
60,0.20613812,0.052921,0.110978924,0.70031524,0.21999143
61,0.22676271,0.0060623125,0.092757985,0.74166065,0.22664799
62,0.2291269,0.027631693,0.085761346,0.7620992,0.24167195
63,0.21835731,0.0359146,0.08279621,0.8023132,0.25068724
64,0.20435995,0.018870622,0.074588016,0.849548,0.24843216
65,0.19700448,0.011364969,0.079396255,0.8947743,0.25884342
66,0.20143507,0.07232006,0.07401441,0.88855064,0.28043362
67,0.22961932,0.17268752,0.09356825,0.8878668,0.34379956
68,0.29691586,0.2689492,0.12449666,0.8908739,0.4335914
69,0.4017247,0.2566303,0.2170546,0.9160612,0.53013206
70,0.50173295,0.16542748,0.30861443,0.9238342,0.5873347
71,0.5662003,0.121266514,0.3167797,0.8641974,0.59599215
72,0.6134586,0.13990495,0.19522195,0.93227005,0.6111633
73,0.66798,0.08115819,0.2130367,0.9267915,0.62661856
74,0.69960845,0.010162133,0.3371791,0.8845648,0.64430505
75,0.6956466,0.073029585,0.40204212,0.9234215,0.67991996
76,0.6671858,0.19677937,0.27142552,0.94686174,0.6711462
77,0.5905009,0.4441286,0.16593724,0.79981476,0.634793
78,0.41742623,0.62871337,0.0879643,0.6702391,0.5382995
79,0.17242052,0.6575942,0.030186497,0.5603498,0.33658764
80,0.08379624,0.577084,0.14357822,0.49069518,0.25862145
81,0.30868244,0.42572236,0.2652439,0.6523584,0.46001193
82,0.47458437,0.21820025,0.3080648,0.8203385,0.55898756
83,0.55961686,0.012886245,0.27149305,0.8973444,0.56041193
84,0.5646402,0.13060713,0.19566937,0.8801522,0.5698727
85,0.513742,0.17367499,0.14787935,0.96558964,0.56415135
86,0.44606072,0.108596474,0.13408656,0.9617335,0.50176764
87,0.4037399,0.00706347,0.14775726,0.9838435,0.45541263
88,0.40098557,0.057008144,0.17708857,0.9327349,0.46256664
89,0.4232029,0.057225518,0.2010159,1.0,0.50419074
90,0.44550487,0.01213986,0.20758902,0.98368335,0.50113404
91,0.45023748,0.053698182,0.18806726,0.9590877,0.50319993
92,0.42931002,0.11609073,0.16180219,0.8922607,0.48121175
93,0.38406873,0.14621757,0.13299502,0.8565788,0.44192633
94,0.32708728,0.13477568,0.103329614,0.87071866,0.39545515
95,0.27456465,0.09587295,0.07927762,0.8829896,0.3416491
96,0.23720208,0.047777873,0.07656644,0.8662849,0.29045573
97,0.21858169,0.0010521957,0.08368859,0.86621267,0.26203972
98,0.21899348,0.038750254,0.09435052,0.83762026,0.269694
99,0.23409587,0.055115998,0.10634178,0.8608749,0.29976404
100,0.25557584,0.046780277,0.115156986,0.8672489,0.31778887
101,0.27380747,0.019865965,0.12526199,0.86939716,0.32560718
102,0.2815508,0.012955361,0.12526007,0.88137794,0.33293766
103,0.27650046,0.041904148,0.11121059,0.9225105,0.34917253
104,0.26016903,0.061961304,0.09433845,0.9096934,0.33423033
105,0.2360215,0.06863449,0.08100896,0.932839,0.32288158
106,0.20927349,0.06092125,0.07240491,0.93189293,0.29730165
107,0.18553127,0.045998726,0.06719809,0.94781977,0.27834043
108,0.16760422,0.030519912,0.06168273,0.9299505,0.25054586
109,0.15570912,0.016542714,0.05775303,0.9071081,0.22619854
110,0.1492608,0.004911602,0.056923144,0.91849905,0.22089112
111,0.14734505,0.000776827,0.05952038,0.89766437,0.21089824
112,0.14764953,0.002511758,0.064155295,0.8430118,0.19260557
113,0.14666896,0.016884055,0.06459766,0.78117293,0.17366928
114,0.14008763,0.03872543,0.057478737,0.75437176,0.16386038
115,0.12499492,0.058679078,0.046167362,0.66775537,0.12148422
116,0.10212645,0.06730026,0.02768998,0.5743593,0.062410317
117,0.07589838,0.061451416,0.014773296,0.46772814,-0.008649402
118,0.051949553,0.0423147,0.008297827,0.39848137,-0.06565766
119,0.035458133,0.0179636,0.0050807237,0.3334741,-0.1154584
120,0.028456118,0.0008828344,0.011146914,0.25168794,-0.15737852
121,0.028801912,0.010713395,0.015317071,0.2116723,-0.1672409
122,0.032978587,0.010735762,0.01734885,0.17539793,-0.17728053
123,0.037163973,0.002671308,0.01814866,0.10505962,-0.20396523
124,0.03820672,0.008389158,0.01650035,0.08938092,-0.20761336
125,0.03493578,0.017042583,0.013009694,0.07047093,-0.21536595
126,0.028292678,0.021810729,0.0082048,0.043227673,-0.23078458
127,0.019791473,0.021576045,0.0031073985,0.05790615,-0.23368183
128,0.011381718,0.016882703,0.00046945104,0.060237944,-0.24191582
129,0.0048009204,0.009775406,0.0014894172,0.05719495,-0.25029248
130,0.000989773,0.0027607805,0.0010235198,0.078825116,-0.2478435
131,4.4260363e-05,0.002059529,0.00048157907,0.77309966,0.023338014
132,0.00071650156,0.004912773,0.0014608694,0.12537688,-0.22951367
133,0.002632725,0.0054144096,0.0016468965,0.14734656,-0.21945181
134,0.004744432,0.0032795838,0.0024686428,0.16511428,-0.21156481
135,0.0060242163,0.00027589776,0.0042871363,0.19302732,-0.20034692
136,0.005914942,0.003838188,0.0031890655,0.17876625,-0.20495568
137,0.0044174744,0.0071201515,0.001061108,0.19771206,-0.19839203
